Gene;Signature;Label;Class;Reference;DOI;Geneset_size;Description;Remark;use_ssgsea
KLF7;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"Kruppel like factor 7 [Source:HGNC Symbol;Acc:HGNC:6350]";;TRUE
ABHD2;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"abhydrolase domain containing 2, acylglycerol lipase [Source:HGNC Symbol;Acc:HGNC:18717]";;TRUE
BMP1;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"bone morphogenetic protein 1 [Source:HGNC Symbol;Acc:HGNC:1067]";;TRUE
KCNK1;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"potassium two pore domain channel subfamily K member 1 [Source:HGNC Symbol;Acc:HGNC:6272]";;TRUE
RGS16;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"regulator of G protein signaling 16 [Source:HGNC Symbol;Acc:HGNC:9997]";;TRUE
ATXN1;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"ataxin 1 [Source:HGNC Symbol;Acc:HGNC:10548]";;TRUE
NMB;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"neuromedin B [Source:HGNC Symbol;Acc:HGNC:7842]";;TRUE
EGR2;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"early growth response 2 [Source:HGNC Symbol;Acc:HGNC:3239]";;TRUE
IL1RN;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"interleukin 1 receptor antagonist [Source:HGNC Symbol;Acc:HGNC:6000]";;TRUE
KLF10;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"Kruppel like factor 10 [Source:HGNC Symbol;Acc:HGNC:11810]";;TRUE
APOD;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"apolipoprotein D [Source:HGNC Symbol;Acc:HGNC:612]";;TRUE
PIK3IP1;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"phosphoinositide-3-kinase interacting protein 1 [Source:HGNC Symbol;Acc:HGNC:24942]";;TRUE
CRIP1;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"cysteine rich protein 1 [Source:HGNC Symbol;Acc:HGNC:2360]";;TRUE
SLC5A3;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"solute carrier family 5 member 3 [Source:HGNC Symbol;Acc:HGNC:11038]";;TRUE
NR4A3;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"nuclear receptor subfamily 4 group A member 3 [Source:HGNC Symbol;Acc:HGNC:7982]";;TRUE
EVI2A;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"ecotropic viral integration site 2A [Source:HGNC Symbol;Acc:HGNC:3499]";;TRUE
FAM102A;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"family with sequence similarity 102 member A [Source:HGNC Symbol;Acc:HGNC:31419]";;TRUE
TIAM1;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"TIAM Rac1 associated GEF 1 [Source:HGNC Symbol;Acc:HGNC:11805]";;TRUE
ALOX5AP;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"arachidonate 5-lipoxygenase activating protein [Source:HGNC Symbol;Acc:HGNC:436]";;TRUE
ZNF365;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"zinc finger protein 365 [Source:HGNC Symbol;Acc:HGNC:18194]";;TRUE
TNFSF4;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"TNF superfamily member 4 [Source:HGNC Symbol;Acc:HGNC:11934]";;TRUE
PPAP2A;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;NA;;TRUE
PKIA;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"cAMP-dependent protein kinase inhibitor alpha [Source:HGNC Symbol;Acc:HGNC:9017]";;TRUE
FBXO11;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"F-box protein 11 [Source:HGNC Symbol;Acc:HGNC:13590]";;TRUE
DCLRE1C;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"DNA cross-link repair 1C [Source:HGNC Symbol;Acc:HGNC:17642]";;TRUE
SOX4;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"SRY-box transcription factor 4 [Source:HGNC Symbol;Acc:HGNC:11200]";;TRUE
C18orf1;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;NA;;TRUE
NPTX1;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"neuronal pentraxin 1 [Source:HGNC Symbol;Acc:HGNC:7952]";;TRUE
CSGALNACT1;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"chondroitin sulfate N-acetylgalactosaminyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:24290]";;TRUE
TMOD1;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"tropomodulin 1 [Source:HGNC Symbol;Acc:HGNC:11871]";;TRUE
ATP1B1;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"ATPase Na+/K+ transporting subunit beta 1 [Source:HGNC Symbol;Acc:HGNC:804]";;TRUE
CCR4;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"C-C motif chemokine receptor 4 [Source:HGNC Symbol;Acc:HGNC:1605]";;TRUE
CD83;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"CD83 molecule [Source:HGNC Symbol;Acc:HGNC:1703]";;TRUE
LRIG1;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"leucine rich repeats and immunoglobulin like domains 1 [Source:HGNC Symbol;Acc:HGNC:17360]";;TRUE
ADO;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"2-aminoethanethiol dioxygenase [Source:HGNC Symbol;Acc:HGNC:23506]";;TRUE
LRBA;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"LPS responsive beige-like anchor protein [Source:HGNC Symbol;Acc:HGNC:1742]";;TRUE
DIXDC1;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"DIX domain containing 1 [Source:HGNC Symbol;Acc:HGNC:23695]";;TRUE
SYNJ2;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"synaptojanin 2 [Source:HGNC Symbol;Acc:HGNC:11504]";;TRUE
RIMS3;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"regulating synaptic membrane exocytosis 3 [Source:HGNC Symbol;Acc:HGNC:21292]";;TRUE
JUN;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"Jun proto-oncogene, AP-1 transcription factor subunit [Source:HGNC Symbol;Acc:HGNC:6204]";;TRUE
CD96;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"CD96 molecule [Source:HGNC Symbol;Acc:HGNC:16892]";;TRUE
PRKCD;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"protein kinase C delta [Source:HGNC Symbol;Acc:HGNC:9399]";;TRUE
S100PBP;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"S100P binding protein [Source:HGNC Symbol;Acc:HGNC:25768]";;TRUE
HLF;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"HLF transcription factor, PAR bZIP family member [Source:HGNC Symbol;Acc:HGNC:4977]";;TRUE
ABCC4;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"ATP binding cassette subfamily C member 4 [Source:HGNC Symbol;Acc:HGNC:55]";;TRUE
CXCL13;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"C-X-C motif chemokine ligand 13 [Source:HGNC Symbol;Acc:HGNC:10639]";;TRUE
PPARG;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"peroxisome proliferator activated receptor gamma [Source:HGNC Symbol;Acc:HGNC:9236]";;TRUE
AHCYL2;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"adenosylhomocysteinase like 2 [Source:HGNC Symbol;Acc:HGNC:22204]";;TRUE
AQP3;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"aquaporin 3 (Gill blood group) [Source:HGNC Symbol;Acc:HGNC:636]";;TRUE
TSPAN13;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"tetraspanin 13 [Source:HGNC Symbol;Acc:HGNC:21643]";;TRUE
SLC1A4;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"solute carrier family 1 member 4 [Source:HGNC Symbol;Acc:HGNC:10942]";;TRUE
TFEB;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"transcription factor EB [Source:HGNC Symbol;Acc:HGNC:11753]";;TRUE
ITGAE;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"integrin subunit alpha E [Source:HGNC Symbol;Acc:HGNC:6147]";;TRUE
APOBEC3G;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"apolipoprotein B mRNA editing enzyme catalytic subunit 3G [Source:HGNC Symbol;Acc:HGNC:17357]";;TRUE
CDYL;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"chromodomain Y like [Source:HGNC Symbol;Acc:HGNC:1811]";;TRUE
IL7R;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"interleukin 7 receptor [Source:HGNC Symbol;Acc:HGNC:6024]";;TRUE
IL9;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"interleukin 9 [Source:HGNC Symbol;Acc:HGNC:6029]";;TRUE
ZNF238;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;NA;;TRUE
MYH6;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"myosin heavy chain 6 [Source:HGNC Symbol;Acc:HGNC:7576]";;TRUE
GPR35;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"G protein-coupled receptor 35 [Source:HGNC Symbol;Acc:HGNC:4492]";;TRUE
MB;T_TBRS;T TBRS;TGFB_response;Calon et al. 2012;10.1016/j.ccr.2012.08.013;190;"myoglobin [Source:HGNC Symbol;Acc:HGNC:6915]";;TRUE
BLK;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"BLK proto-oncogene, Src family tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:1057]";;TRUE
CD163;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"CD163 molecule [Source:HGNC Symbol;Acc:HGNC:1631]";;TRUE
CD19;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"CD19 molecule [Source:HGNC Symbol;Acc:HGNC:1633]";;TRUE
CD244;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"CD244 molecule [Source:HGNC Symbol;Acc:HGNC:18171]";;TRUE
CD3D;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"CD3d molecule [Source:HGNC Symbol;Acc:HGNC:1673]";;TRUE
CD3E;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"CD3e molecule [Source:HGNC Symbol;Acc:HGNC:1674]";;TRUE
CD3G;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"CD3g molecule [Source:HGNC Symbol;Acc:HGNC:1675]";;TRUE
CD6;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"CD6 molecule [Source:HGNC Symbol;Acc:HGNC:1691]";;TRUE
CD68;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"CD68 molecule [Source:HGNC Symbol;Acc:HGNC:1693]";;TRUE
CD84;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"CD84 molecule [Source:HGNC Symbol;Acc:HGNC:1704]";;TRUE
CD8A;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"CD8a molecule [Source:HGNC Symbol;Acc:HGNC:1706]";;TRUE
CD8B;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"CD8b molecule [Source:HGNC Symbol;Acc:HGNC:1707]";;TRUE
CEACAM3;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"CEA cell adhesion molecule 3 [Source:HGNC Symbol;Acc:HGNC:1815]";;TRUE
CSF3R;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"colony stimulating factor 3 receptor [Source:HGNC Symbol;Acc:HGNC:2439]";;TRUE
CTSW;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"cathepsin W [Source:HGNC Symbol;Acc:HGNC:2546]";;TRUE
EOMES;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"eomesodermin [Source:HGNC Symbol;Acc:HGNC:3372]";;TRUE
FAM30A;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"family with sequence similarity 30 member A [Source:HGNC Symbol;Acc:HGNC:19955]";;TRUE
FCAR;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"Fc alpha receptor [Source:HGNC Symbol;Acc:HGNC:3608]";;TRUE
FCGR3B;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"Fc gamma receptor IIIb [Source:HGNC Symbol;Acc:HGNC:3620]";;TRUE
FCRL2;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"Fc receptor like 2 [Source:HGNC Symbol;Acc:HGNC:14875]";;TRUE
FPR1;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"formyl peptide receptor 1 [Source:HGNC Symbol;Acc:HGNC:3826]";;TRUE
GNLY;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"granulysin [Source:HGNC Symbol;Acc:HGNC:4414]";;TRUE
GZMA;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"granzyme A [Source:HGNC Symbol;Acc:HGNC:4708]";;TRUE
GZMB;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"granzyme B [Source:HGNC Symbol;Acc:HGNC:4709]";;TRUE
GZMH;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"granzyme H [Source:HGNC Symbol;Acc:HGNC:4710]";;TRUE
IL21R;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"interleukin 21 receptor [Source:HGNC Symbol;Acc:HGNC:6006]";;TRUE
KIR2DL3;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"killer cell immunoglobulin like receptor, two Ig domains and long cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6331]";;TRUE
KIR3DL1;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6338]";;TRUE
KIR3DL2;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"killer cell immunoglobulin like receptor, three Ig domains and long cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6339]";;TRUE
KLRB1;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"killer cell lectin like receptor B1 [Source:HGNC Symbol;Acc:HGNC:6373]";;TRUE
KLRD1;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"killer cell lectin like receptor D1 [Source:HGNC Symbol;Acc:HGNC:6378]";;TRUE
KLRK1;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"killer cell lectin like receptor K1 [Source:HGNC Symbol;Acc:HGNC:18788]";;TRUE
LAG3;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"lymphocyte activating 3 [Source:HGNC Symbol;Acc:HGNC:6476]";;TRUE
MS4A1;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"membrane spanning 4-domains A1 [Source:HGNC Symbol;Acc:HGNC:7315]";;TRUE
MS4A4A;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"membrane spanning 4-domains A4A [Source:HGNC Symbol;Acc:HGNC:13371]";;TRUE
NCR1;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"natural cytotoxicity triggering receptor 1 [Source:HGNC Symbol;Acc:HGNC:6731]";;TRUE
NKG7;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"natural killer cell granule protein 7 [Source:HGNC Symbol;Acc:HGNC:7830]";;TRUE
PNOC;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"prepronociceptin [Source:HGNC Symbol;Acc:HGNC:9163]";;TRUE
PRF1;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"perforin 1 [Source:HGNC Symbol;Acc:HGNC:9360]";;TRUE
PTGER4;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"prostaglandin E receptor 4 [Source:HGNC Symbol;Acc:HGNC:9596]";;TRUE
PTPRC;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"protein tyrosine phosphatase receptor type C [Source:HGNC Symbol;Acc:HGNC:9666]";;TRUE
S100A12;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"S100 calcium binding protein A12 [Source:HGNC Symbol;Acc:HGNC:10489]";;TRUE
SH2D1A;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"SH2 domain containing 1A [Source:HGNC Symbol;Acc:HGNC:10820]";;TRUE
SIGLEC5;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"sialic acid binding Ig like lectin 5 [Source:HGNC Symbol;Acc:HGNC:10874]";;TRUE
SPIB;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"Spi-B transcription factor [Source:HGNC Symbol;Acc:HGNC:11242]";;TRUE
TBX21;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"T-box transcription factor 21 [Source:HGNC Symbol;Acc:HGNC:11599]";;TRUE
TCL1A;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"TCL1 family AKT coactivator A [Source:HGNC Symbol;Acc:HGNC:11648]";;TRUE
TNFRSF17;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"TNF receptor superfamily member 17 [Source:HGNC Symbol;Acc:HGNC:11913]";;TRUE
TRAT1;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"T cell receptor associated transmembrane adaptor 1 [Source:HGNC Symbol;Acc:HGNC:30698]";;TRUE
XCL1;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"X-C motif chemokine ligand 1 [Source:HGNC Symbol;Acc:HGNC:10645]";;TRUE
XCL2;TIL_score;TIL score;Cell_type;Danaher et al. 2017;10.1186/s40425-017-0215-8;51;"X-C motif chemokine ligand 2 [Source:HGNC Symbol;Acc:HGNC:10646]";;TRUE
AK2;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"adenylate kinase 2 [Source:HGNC Symbol;Acc:HGNC:362]";;TRUE
ANP32E;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"acidic nuclear phosphoprotein 32 family member E [Source:HGNC Symbol;Acc:HGNC:16673]";;TRUE
ASF1A;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"anti-silencing function 1A histone chaperone [Source:HGNC Symbol;Acc:HGNC:20995]";;TRUE
ASF1B;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"anti-silencing function 1B histone chaperone [Source:HGNC Symbol;Acc:HGNC:20996]";;TRUE
ATAD2;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"ATPase family AAA domain containing 2 [Source:HGNC Symbol;Acc:HGNC:30123]";;TRUE
AURKA;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"aurora kinase A [Source:HGNC Symbol;Acc:HGNC:11393]";;TRUE
AURKB;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"aurora kinase B [Source:HGNC Symbol;Acc:HGNC:11390]";;TRUE
BARD1;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"BRCA1 associated RING domain 1 [Source:HGNC Symbol;Acc:HGNC:952]";;TRUE
BIRC5;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"baculoviral IAP repeat containing 5 [Source:HGNC Symbol;Acc:HGNC:593]";;TRUE
BRCA1;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"BRCA1 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1100]";;TRUE
BRCA2;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"BRCA2 DNA repair associated [Source:HGNC Symbol;Acc:HGNC:1101]";;TRUE
BRMS1L;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"BRMS1 like transcriptional repressor [Source:HGNC Symbol;Acc:HGNC:20512]";;TRUE
BUB1B;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"BUB1 mitotic checkpoint serine/threonine kinase B [Source:HGNC Symbol;Acc:HGNC:1149]";;TRUE
CBX5;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"chromobox 5 [Source:HGNC Symbol;Acc:HGNC:1555]";;TRUE
CCNB2;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cyclin B2 [Source:HGNC Symbol;Acc:HGNC:1580]";;TRUE
CCNE1;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cyclin E1 [Source:HGNC Symbol;Acc:HGNC:1589]";;TRUE
CCP110;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"centriolar coiled-coil protein 110 [Source:HGNC Symbol;Acc:HGNC:24342]";;TRUE
CDC20;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cell division cycle 20 [Source:HGNC Symbol;Acc:HGNC:1723]";;TRUE
CDC25A;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cell division cycle 25A [Source:HGNC Symbol;Acc:HGNC:1725]";;TRUE
CDC25B;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cell division cycle 25B [Source:HGNC Symbol;Acc:HGNC:1726]";;TRUE
CDCA3;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cell division cycle associated 3 [Source:HGNC Symbol;Acc:HGNC:14624]";;TRUE
CDCA8;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cell division cycle associated 8 [Source:HGNC Symbol;Acc:HGNC:14629]";;TRUE
CDK1;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cyclin dependent kinase 1 [Source:HGNC Symbol;Acc:HGNC:1722]";;TRUE
CDK4;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cyclin dependent kinase 4 [Source:HGNC Symbol;Acc:HGNC:1773]";;TRUE
CDKN1A;H_E2F_Targets;E2F Targets(H);MSigDB Hallmarks;Liberzon et al. 2015;10.1016/j.cels.2015.12.004;200;"cyclin dependent kinase inhibitor 1A [Source:HGNC Symbol;Acc:HGNC:1784]";;TRUE
